packet_count,X,Y,Z
1,-0.412109375,-0.0859375,0.9189453125
2,-0.412109375,-0.0859375,0.9189453125
3,-0.412109375,-0.0859375,0.9189453125
4,-0.412109375,-0.0859375,0.9189453125
5,-0.412109375,-0.0859375,0.9189453125
6,-0.412109375,-0.0859375,0.9189453125
7,-0.412109375,-0.0859375,0.9189453125
8,-0.412109375,-0.0859375,0.9189453125
9,-0.4130859375,-0.0869140625,0.919921875
10,-0.4130859375,-0.0869140625,0.919921875
11,-0.4130859375,-0.0869140625,0.919921875
12,-0.4130859375,-0.0869140625,0.919921875
13,-0.4130859375,-0.0869140625,0.919921875
14,-0.4130859375,-0.0869140625,0.919921875
15,-0.4130859375,-0.0869140625,0.919921875
16,-0.4130859375,-0.0869140625,0.919921875
17,-0.4130859375,-0.0869140625,0.919921875
18,-0.4130859375,-0.0869140625,0.919921875
19,-0.4130859375,-0.0869140625,0.919921875
20,-0.4130859375,-0.0869140625,0.919921875
21,-0.4130859375,-0.0869140625,0.919921875
22,-0.4130859375,-0.0869140625,0.919921875
23,-0.4130859375,-0.0869140625,0.919921875
24,-0.4130859375,-0.0869140625,0.919921875
25,-0.4130859375,-0.0869140625,0.919921875
26,-0.4130859375,-0.0869140625,0.9189453125
27,-0.4130859375,-0.0869140625,0.9189453125
28,-0.4130859375,-0.0869140625,0.9189453125
29,-0.4130859375,-0.0869140625,0.9189453125
30,-0.4130859375,-0.0869140625,0.9189453125
31,-0.4130859375,-0.0869140625,0.9189453125
32,-0.4130859375,-0.0869140625,0.9189453125
33,-0.4130859375,-0.0869140625,0.9189453125
34,-0.4130859375,-0.0869140625,0.9189453125
35,-0.4130859375,-0.0869140625,0.9189453125
36,-0.4130859375,-0.0869140625,0.9189453125
37,-0.4130859375,-0.0869140625,0.9189453125
38,-0.4130859375,-0.087890625,0.9189453125
39,-0.4130859375,-0.087890625,0.9189453125
40,-0.4130859375,-0.087890625,0.9189453125
41,-0.4130859375,-0.087890625,0.9189453125
42,-0.4130859375,-0.087890625,0.9189453125
