packet_count,acc_x,acc_y,acc_z,a_mag
1,-0.976366,-0.07356599999999999,0.236924,1.007390442722185
2,-0.979538,-0.072102,0.23338599999999998,1.0095357432225964
3,-0.980758,-0.077592,0.233508,1.0111541717720398
4,-0.988444,-0.075274,0.234362,1.0186330366015035
5,-0.990518,-0.071492,0.23241,1.0199271652858355
6,-0.974536,-0.071492,0.23802199999999998,1.0057265999485148
7,-0.988444,-0.068808,0.23851,1.0191384116497622
8,-0.98576,-0.073444,0.235826,1.0162335858512057
9,-0.985028,-0.078568,0.23460599999999998,1.0156244712707547
10,-0.9840519999999999,-0.064538,0.237534,1.0143697024773561
11,-0.98637,-0.069906,0.236558,1.0167459432424601
12,-0.997472,-0.076982,0.235826,1.0278572475708871
13,-0.9977159999999999,-0.071614,0.24217,1.0291803003128266
14,-0.978196,-0.07686,0.232044,1.0082754048135856
15,-0.9946659999999999,-0.081008,0.23424,1.0250810334895482
16,-0.995764,-0.075274,0.22386999999999999,1.023391369746687
17,-0.99003,-0.077836,0.228262,1.0189805613651322
18,-0.9964959999999999,-0.07869,0.225822,1.0247887439858032
19,-1.006866,-0.07808,0.227286,1.0351495322667157
20,-0.990152,-0.08003199999999999,0.22386999999999999,1.018294594421477
21,-0.998082,-0.067344,0.232044,1.0269115400052724
22,-0.987712,-0.07381,0.232654,1.017423606350865
23,-0.9864919999999999,-0.083692,0.224358,1.015139068843279
24,-1.003206,-0.075518,0.21899,1.029602771392929
25,-0.999058,-0.084668,0.22508999999999998,1.0275947964484833
26,-1.007354,-0.08234999999999999,0.229116,1.0363579233411593
27,-1.0004,-0.069052,0.223138,1.0273066269366706
28,-0.9977159999999999,-0.07564,0.218502,1.0241590453928529
29,-1.003938,-0.07417599999999999,0.216428,1.0296769716780112
30,-0.9940559999999999,-0.071736,0.212646,1.019073945377861
31,-0.99796,-0.08234999999999999,0.215452,1.0242681525870068
32,-0.997594,-0.078324,0.216184,1.0237499497767997
33,-0.99979,-0.072224,0.21984399999999998,1.0262201199606253
34,-1.005768,-0.075762,0.218258,1.0319620656942774
35,-0.996374,-0.071614,0.21594,1.0220175128010283
36,-1.005768,-0.069052,0.217282,1.031285079913406
37,-0.996984,-0.072346,0.213744,1.0222022977414988
38,-0.987346,-0.080276,0.214842,1.0136337824165096
39,-0.99552,-0.078324,0.208254,1.0200806085266008
40,-0.998692,-0.07198,0.21045,1.0231598280640224
41,-0.994422,-0.06527,0.217282,1.0199738989346738
42,-0.999912,-0.061854,0.207278,1.0230415897430563
43,-0.993324,-0.06466,0.205204,1.0163573024246935
44,-1.008696,-0.07015,0.20349599999999998,1.031406449917781
45,-1.012112,-0.066978,0.20166599999999998,1.0341788668233363
46,-0.99674,-0.060268,0.20410599999999998,1.019206612350999
47,-0.984174,-0.058072,0.207888,1.0075655015948095
48,-0.986248,-0.060878,0.20435,1.009034276369242
49,-0.99308,-0.062464,0.19825,1.014599773406243
50,-0.981246,-0.06161,0.19276,1.0018961633901988
51,-0.990884,-0.063928,0.20227599999999998,1.0133377871253
52,-0.9882,-0.059414,0.18727,1.0075412231248901
53,-0.987712,-0.056242,0.191662,1.007706544462226
54,-0.98332,-0.057462,0.188002,1.002778567704755
55,-0.989542,-0.061366,0.190442,1.0095678833461375
56,-0.9922259999999999,-0.061121999999999996,0.18483,1.011143146572235
57,-0.99125,-0.066978,0.17885199999999998,1.0094803875697635
58,-0.995154,-0.061366,0.179584,1.0130881909922749
59,-0.989664,-0.066124,0.19032,1.009964810610746
60,-0.984418,-0.06649,0.183732,1.0036220237958113
61,-0.984296,-0.06831999999999999,0.173972,1.0018844717830495
62,-0.98881,-0.062098,0.172752,1.005706036179559
63,-0.99369,-0.060511999999999996,0.17446,1.0107016423475328
64,-0.98942,-0.057096,0.161894,1.0042019502331192
65,-0.9910059999999999,-0.054534,0.1708,1.007094578076955
66,-0.998082,-0.068442,0.16994599999999999,1.0147579164529834
67,-0.99857,-0.06649,0.170678,1.0152309809516256
68,-0.98698,-0.068564,0.174216,1.004580388596154
69,-0.993202,-0.060268,0.172752,1.0099137082602652
70,-0.995032,-0.070516,0.164822,1.0110526588481927
71,-0.983686,-0.064904,0.165432,0.9996091348302095
72,-0.993324,-0.073322,0.16408999999999999,1.0094524321432883
73,-0.989298,-0.065636,0.164944,1.0050995674240437
74,-0.993934,-0.060878,0.16836,1.0099287186925618
75,-1.0004,-0.062464,0.167872,1.016308476634924
76,-0.98942,-0.06039,0.163724,1.0046912145908313
77,-0.9971059999999999,-0.057218,0.159942,1.0114720550385956
78,-0.999424,-0.078202,0.168238,1.0164978648398628
79,-0.9989359999999999,-0.066734,0.159088,1.013723606608823
80,-0.996374,-0.074054,0.16652999999999998,1.0129054169526392
81,-0.991982,-0.069906,0.17055599999999999,1.0089620836760913
82,-0.9952759999999999,-0.068442,0.168726,1.01179399415889
83,-1.000278,-0.06709999999999999,0.165432,1.0160837730758228
84,-0.995032,-0.064904,0.171654,1.0118133750628127
85,-0.996252,-0.07015,0.16591999999999998,1.0124072878066417
86,-0.99125,-0.076372,0.163846,1.0075985096257338
87,-1.008696,-0.067954,0.160186,1.0235941193305087
88,-1.005158,-0.072102,0.16713999999999998,1.0215072603599056
89,-1.000766,-0.08052,0.164822,1.0174391130873632
90,-0.9934459999999999,-0.071858,0.16104,1.008975920763226
91,-1.004914,-0.074298,0.169458,1.0218064170693
92,-1.01016,-0.082716,0.17238599999999998,1.0280963453159435
93,-1.010038,-0.080276,0.168726,1.0271754770709822
94,-1.006988,-0.079056,0.174948,1.0251251074790824
95,-1.00772,-0.076982,0.167994,1.0245232114305658
96,-1.00406,-0.075152,0.178608,1.0225874653876803
97,-1.00833,-0.075762,0.176778,1.0265085147372135
98,-1.014186,-0.07808,0.174338,1.0320191215476582
99,-1.001254,-0.07198,0.18287799999999999,1.020360257850138
100,-1.002474,-0.08113,0.187026,1.022993119357115
101,-1.006012,-0.076128,0.187148,1.026099405726365
102,-1.008818,-0.080276,0.189222,1.0295450250397018
103,-1.000644,-0.071614,0.189588,1.0209606209232558
104,-0.99857,-0.07417599999999999,0.18995399999999998,1.0191793983357396
105,-0.997594,-0.082716,0.190198,1.0189263980759355
106,-1.006134,-0.07259,0.192638,1.026978253469858
107,-0.98698,-0.07710399999999999,0.19580999999999998,1.009166043481448
108,-1.00345,-0.08003199999999999,0.204716,1.027241774939084
109,-1.00955,-0.073078,0.207034,1.0331479437815283
110,-1.003206,-0.078934,0.210816,1.0281518568032644
111,-1.00894,-0.0793,0.207888,1.0331823818397214
112,-0.999912,-0.082716,0.208864,1.0248366283930332
113,-1.00284,-0.076982,0.21398799999999998,1.028302075300833
114,-1.002474,-0.07625,0.21533,1.028170799077663
115,-1.003938,-0.074054,0.217282,1.0298480326164634
116,-1.008208,-0.063684,0.22167399999999998,1.0342525733088606
117,-1.006256,-0.082228,0.222162,1.0337642554102944
118,-1.002718,-0.073444,0.222772,1.0297887029114274
119,-0.9983259999999999,-0.071126,0.229482,1.0268279790091426
120,-0.993568,-0.069662,0.237656,1.0239680362218344
121,-0.99918,-0.070272,0.239364,1.029851421749759
122,-1.000034,-0.07259,0.237656,1.0304453811784495
123,-1.011746,-0.066734,0.244244,1.042947039311201
124,-1.000644,-0.07015,0.24387799999999998,1.032320645981664
125,-1.00223,-0.072834,0.244,1.0340724174137903
126,-0.99613,-0.067954,0.2562,1.0307915225767041
127,-0.99552,-0.07015,0.25437,1.029895717924878
128,-1.006256,-0.071858,0.25803,1.0412944783297375
129,-1.003206,-0.06222,0.257664,1.0376340124205645
130,-0.994422,-0.066734,0.258762,1.029702050830239
131,-1.006622,-0.06831999999999999,0.270474,1.044562902825866
132,-1.001132,-0.069906,0.26657,1.038369729508714
133,-0.99125,-0.079788,0.277062,1.0323303925042602
134,-0.99918,-0.075152,0.277184,1.0396342940476713
135,-0.998204,-0.072956,0.274866,1.0379234661129886
136,-0.986004,-0.066368,0.280844,1.0273665128745437
137,-0.999424,-0.07076,0.284626,1.0415696180534453
138,-1.011868,-0.069052,0.288774,1.0545309152433606
139,-1.011136,-0.066734,0.28560199999999997,1.0528142949523436
140,-1.00345,-0.07381,0.28792,1.046545624901275
141,-1.003084,-0.07686,0.288896,1.04668327084749
142,-1.008208,-0.078934,0.288286,1.051581078859828
143,-1.009306,-0.077836,0.288164,1.0525186627457017
144,-0.998082,-0.069418,0.295972,1.0433532298469201
145,-1.001986,-0.081984,0.29426399999999997,1.0475154519853156
146,-1.004426,-0.069052,0.29097,1.0479996703625436
147,-1.007598,-0.073444,0.29829,1.0533872387873322
148,-1.016382,-0.07259,0.303536,1.0632195358062226
149,-1.01077,-0.063928,0.298778,1.055940848422865
150,-1.01382,-0.061732,0.29463,1.057567335503513
151,-1.027118,-0.071126,0.294752,1.0709383900598577
152,-1.018578,-0.07686,0.299388,1.0644443509305688
153,-1.008696,-0.07076,0.301096,1.0550513727928132
154,-1.009184,-0.066978,0.29426399999999997,1.0533421571531258
155,-1.0255319999999999,-0.072468,0.302072,1.0715479397731116
156,-1.013088,-0.073078,0.30841599999999997,1.0615121849908271
157,-1.025288,-0.071126,0.304878,1.0720191162959734
158,-1.018456,-0.067954,0.315126,1.0682578180982343
159,-1.02541,-0.0732,0.316102,1.0755205170074629
160,-1.015162,-0.078324,0.30780599999999997,1.0636884265874098
161,-1.012844,-0.066246,0.303414,1.0593873494845973
162,-1.01321,-0.064904,0.313662,1.062633936762797
163,-1.010282,-0.06588,0.318054,1.0612107428969986
164,-1.014918,-0.067588,0.319396,1.0661334293999039
165,-1.024434,-0.071614,0.315614,1.0743396959751603
166,-1.024434,-0.071126,0.3172,1.0747742871096237
167,-1.023092,-0.06709999999999999,0.32195799999999997,1.0746518525680768
168,-1.0065,-0.063806,0.319396,1.057888113390069
169,-1.02053,-0.071004,0.325008,1.073384017479299
170,-1.016382,-0.070882,0.333426,1.0720212336162003
171,-1.01504,-0.065636,0.325984,1.0681197752836524
172,-1.017602,-0.07076,0.327082,1.0712158712080397
173,-1.007598,-0.06039,0.324398,1.0602522077826577
174,-1.004792,-0.064294,0.329766,1.0594745378988586
175,-1.009916,-0.064538,0.336232,1.0663711541128633
176,-1.00711,-0.069174,0.339526,1.0650509373039394
177,-1.008086,-0.072224,0.338916,1.0659820564287188
178,-0.995398,-0.069662,0.343186,1.0551997930458479
179,-1.005158,-0.071736,0.350018,1.0667714183385304
180,-1.006134,-0.061,0.348676,1.066584070259818
181,-1.002474,-0.058804,0.348188,1.0628484908188938
182,-0.99735,-0.059536,0.345504,1.0571776443966263
183,-1.001254,-0.063318,0.352092,1.063243865773041
184,-0.9952759999999999,-0.068564,0.353922,1.05855378718136
185,-0.992958,-0.058682,0.35441,1.0559429979823722
186,-0.990274,-0.066124,0.347578,1.0515823527123302
187,-0.987834,-0.072468,0.35441,1.0519857749418478
188,-0.977586,-0.070516,0.358436,1.0436106839947548
189,-0.996008,-0.07124799999999999,0.364658,1.0630539358527393
190,-0.98332,-0.074298,0.359656,1.0496622568902818
191,-0.97844,-0.067954,0.363804,1.0460955645312717
192,-0.983564,-0.072956,0.36636599999999997,1.0521144262807158
193,-0.983686,-0.076128,0.367464,1.052835889526948
194,-0.98149,-0.060511999999999996,0.362218,1.0479437970463872
195,-0.9897859999999999,-0.062464,0.368928,1.0581521375851395
196,-0.987834,-0.063562,0.375394,1.058667461782027
197,-0.97417,-0.068564,0.371612,1.0448941044622655
198,-0.976488,-0.066856,0.36417,1.0443267342072595
